STT,Điểm đo,Thời gian,Vĩ độ (Lat),Kinh độ (Lon),Độ cao (m),Số mẫu,PM2.5 (µg/m³),PM10 (µg/m³),CO₂ (mg/m³),TVOC (ppb),CO (mg/m³),NO₂ (µg/m³),Nhiệt độ (°C),Độ ẩm (%),Chỉ số VN_AQI,Chất lượng không khí,Tập tin chi tiết
1,Điểm #1,2026-09-24 12:37:03,16.076302,108.153298,35.0,10,88.2,131.4,883.0,175.0,1.86,37.1,28.4,68.4,156,Xấu,wp01_20260924_123703.csv
2,Điểm #2,2026-09-24 12:59:27,16.074393,108.152912,35.0,10,62.1,94.8,562.0,116.0,0.91,31.7,28.4,68.7,120,Kém,wp02_20260924_125927.csv
3,Điểm #3,2026-09-24 13:02:35,16.074377,108.153577,35.0,10,47.9,71.4,585.0,121.0,0.58,28.6,28.4,68.4,95,Trung bình,wp03_20260924_130235.csv
4,Điểm #4,2026-09-24 13:03:14,16.074377,108.153577,35.0,10,61.4,92.1,560.0,101.0,0.77,30.2,28.4,68.5,119,Kém,wp04_20260924_130314.csv
5,Điểm #5,2026-09-24 13:04:35,16.076026,108.156044,35.0,10,74.7,112.5,561.0,23.0,1.53,38.2,28.4,68.6,141,Kém,wp05_20260924_130435.csv
6,Điểm #6,2026-09-24 13:06:04,16.077881,108.154242,35.0,10,85.2,129.9,542.0,24.0,1.93,42.0,28.4,68.5,154,Xấu,wp06_20260924_130604.csv
7,Điểm #7,2026-09-24 20:22:15,16.075098,108.154178,35.0,10,49.2,72.4,513.0,115.0,0.62,28.9,28.4,68.6,98,Trung bình,wp07_20260924_202215.csv
